1	1	7572897
2	2	5944973
3	3	5091628
4	4	4366037
5	5	3745389
6	6	3223332
7	7	2770463
8	8	2384755
9	9	2056260
10	10	1776496
11	11	1536630
12	12	1333980
13	13	1157773
14	14	1009470
15	15	883818
16	16	773884
17	17	678547
18	18	597926
19	19	528765
20	20	468888
21	21	416666
22	22	370633
23	23	332401
24	24	297156
25	25	267793
26	26	241751
27	27	218729
28	28	198222
29	29	181216
30	30	164875
31	31	150747
32	32	139381
33	33	127922
34	34	118465
35	35	109280
36	36	101702
37	37	95337
38	38	88704
39	39	83233
40	40	77405
41	41	73804
42	42	69701
43	43	66059
44	44	62992
45	45	59770
46	46	57318
47	47	54365
48	48	52033
49	49	49723
50	50	47666
51	51	46225
52	52	44380
53	53	43142
54	54	41662
55	55	40543
56	56	38874
57	57	38597
58	58	37486
59	59	36631
60	60	35470
61	61	34798
62	62	33901
63	63	32995
64	64	32751
65	65	32364
66	66	31559
67	67	31071
68	68	30444
69	69	29784
70	70	29483
71	71	28802
72	72	28616
73	73	28492
74	74	27661
75	75	28196
